Element Index,Addition Cost,Copy Cost,Total Cost,Amortized Cost
185,1,0,440,2.3783783784
186,1,0,441,2.3709677419
187,1,0,442,2.3636363636
188,1,0,443,2.3563829787
189,1,0,444,2.3492063492
190,1,0,445,2.3421052632
191,1,0,446,2.3350785340
192,1,0,447,2.3281250000
193,1,0,448,2.3212435233
194,1,0,449,2.3144329897
195,1,0,450,2.3076923077
196,1,0,451,2.3010204082
197,1,0,452,2.2944162437
198,1,0,453,2.2878787879
199,1,0,454,2.2814070352
200,1,0,455,2.2750000000
201,1,0,456,2.2686567164
202,1,0,457,2.2623762376
203,1,0,458,2.2561576355
204,1,0,459,2.2500000000
205,1,0,460,2.2439024390
206,1,0,461,2.2378640777
207,1,0,462,2.2318840580
208,1,0,463,2.2259615385
209,1,0,464,2.2200956938
210,1,0,465,2.2142857143
211,1,0,466,2.2085308057
212,1,0,467,2.2028301887
213,1,0,468,2.1971830986
214,1,0,469,2.1915887850
215,1,0,470,2.1860465116
216,1,0,471,2.1805555556
217,1,0,472,2.1751152074
218,1,0,473,2.1697247706
219,1,0,474,2.1643835616
220,1,0,475,2.1590909091
221,1,0,476,2.1538461538
222,1,0,477,2.1486486486
223,1,0,478,2.1434977578
224,1,0,479,2.1383928571
225,1,0,480,2.1333333333
226,1,0,481,2.1283185841
227,1,0,482,2.1233480176
228,1,0,483,2.1184210526
229,1,0,484,2.1135371179
230,1,0,485,2.1086956522
231,1,0,486,2.1038961039
232,1,0,487,2.0991379310
233,1,0,488,2.0944206009
234,1,0,489,2.0897435897
235,1,0,490,2.0851063830
236,1,0,491,2.0805084746
237,1,0,492,2.0759493671
238,1,0,493,2.0714285714
239,1,0,494,2.0669456067
240,1,0,495,2.0625000000
241,1,0,496,2.0580912863
242,1,0,497,2.0537190083
243,1,0,498,2.0493827160
244,1,0,499,2.0450819672
245,1,0,500,2.0408163265
246,1,0,501,2.0365853659
247,1,0,502,2.0323886640
248,1,0,503,2.0282258065
249,1,0,504,2.0240963855
250,1,0,505,2.0200000000
251,1,0,506,2.0159362550
252,1,0,507,2.0119047619
253,1,0,508,2.0079051383
254,1,0,509,2.0039370079
255,1,0,510,2.0000000000
256,1,0,511,1.9960937500
257,1,256,768,2.9883268482
258,1,0,769,2.9806201550
259,1,0,770,2.9729729730
260,1,0,771,2.9653846154
261,1,0,772,2.9578544061
262,1,0,773,2.9503816794
263,1,0,774,2.9429657795
264,1,0,775,2.9356060606
265,1,0,776,2.9283018868
266,1,0,777,2.9210526316
267,1,0,778,2.9138576779
268,1,0,779,2.9067164179
269,1,0,780,2.8996282528
270,1,0,781,2.8925925926
271,1,0,782,2.8856088561
272,1,0,783,2.8786764706
273,1,0,784,2.8717948718
274,1,0,785,2.8649635036
275,1,0,786,2.8581818182
276,1,0,787,2.8514492754
277,1,0,788,2.8447653430
278,1,0,789,2.8381294964
279,1,0,790,2.8315412186
280,1,0,791,2.8250000000
281,1,0,792,2.8185053381
282,1,0,793,2.8120567376
283,1,0,794,2.8056537102
284,1,0,795,2.7992957746
285,1,0,796,2.7929824561
286,1,0,797,2.7867132867
287,1,0,798,2.7804878049
288,1,0,799,2.7743055556
289,1,0,800,2.7681660900
290,1,0,801,2.7620689655
291,1,0,802,2.7560137457
292,1,0,803,2.7500000000
293,1,0,804,2.7440273038
294,1,0,805,2.7380952381
295,1,0,806,2.7322033898
296,1,0,807,2.7263513514
297,1,0,808,2.7205387205
298,1,0,809,2.7147651007
299,1,0,810,2.7090301003
300,1,0,811,2.7033333333
301,1,0,812,2.6976744186
302,1,0,813,2.6920529801
303,1,0,814,2.6864686469
304,1,0,815,2.6809210526
305,1,0,816,2.6754098361
306,1,0,817,2.6699346405
307,1,0,818,2.6644951140
308,1,0,819,2.6590909091
309,1,0,820,2.6537216828
310,1,0,821,2.6483870968
311,1,0,822,2.6430868167
312,1,0,823,2.6378205128
313,1,0,824,2.6325878594
314,1,0,825,2.6273885350
315,1,0,826,2.6222222222
316,1,0,827,2.6170886076
317,1,0,828,2.6119873817
318,1,0,829,2.6069182390
319,1,0,830,2.6018808777
320,1,0,831,2.5968750000
321,1,0,832,2.5919003115
322,1,0,833,2.5869565217
323,1,0,834,2.5820433437
324,1,0,835,2.5771604938
325,1,0,836,2.5723076923
